UID          PID    PPID  C STIME TTY          TIME CMD
matthew     1199     994  0 21:00 ?        00:00:05 /usr/bin/qterminal -session 28a613d8c-aa26-4fd5-b6a7-fdb89e20a7f7_1694739367_951771
matthew     1200     994  0 21:00 ?        00:00:00 xfce4-power-manager --restart --sm-client-id 20126d177-af08-492e-8989-1604308dbcae
matthew     1203     946  0 21:00 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/notifyd/xfce4-notifyd
matthew     1247     994  0 21:00 ?        00:00:00 light-locker
matthew     1251     994  0 21:00 ?        00:00:00 nm-applet
matthew     1254     994  0 21:00 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
matthew     1255     946  0 21:00 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
matthew     1265       1  0 21:00 ?        00:00:00 /usr/bin/spice-vdagent
matthew     1267       1  0 21:00 ?        00:00:00 xcape -e Super_L Control_L Escape
matthew     1276     994  0 21:00 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
matthew     1285     994  0 21:00 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
matthew     1288     946  0 21:00 ?        00:00:00 /usr/libexec/dconf-service
matthew     1289     994  0 21:00 ?        00:00:00 xiccd
root        1302       1  0 21:00 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        1322       1  0 21:00 ?        00:00:00 /usr/sbin/spice-vdagentd
colord      1334       1  0 21:00 ?        00:00:00 /usr/libexec/colord
matthew     1361    1199  0 21:00 pts/0    00:00:03 /usr/bin/zsh
matthew     1383     946  0 21:00 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
matthew     1409     946  0 21:00 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
matthew     1416     946  0 21:00 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
matthew     1421     946  0 21:00 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
matthew     1450    1087  0 21:00 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
matthew     1461     946  0 21:00 ?        00:00:00 /usr/libexec/gvfsd-metadata
matthew     1486     946  0 21:00 ?        00:00:00 /usr/libexec/bluetooth/obexd
root        9485       2  0 21:15 ?        00:00:00 [kworker/7:2-mm_percpu_wq]
root        9989       2  0 21:16 ?        00:00:00 [kworker/0:1-events]
root       12090       2  0 21:20 ?        00:00:00 [kworker/7:1-events_power_efficient]
matthew    16403     946  0 21:29 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/xfconf/xfconfd
root       16600       2  0 21:29 ?        00:00:00 [kworker/0:0-mm_percpu_wq]
root       17592       2  0 21:31 ?        00:00:00 [kworker/7:0-events]
matthew    18797    1361  0 21:33 pts/0    00:00:00 ps -ef
